work_id,doi,ano,primeiro_autor,author_id,genero_primeiro_autor,primeiro_autor_no_brasil,paises_primeiro_autor
W4324101822,10.1016/j.cub.2023.02.040,2023,Hudson T. Pinheiro,A5011674962,MASCULINO,True,BR;US
W2956066909,10.3389/fmars.2019.00436,2019,Pierre De Mey-Frémaux,A5070910118,MASCULINO,False,FR
W3205491578,10.1038/s43017-021-00214-3,2021,Christian Robert Voolstra,A5091777836,MASCULINO,False,DE
W3163828296,10.3390/w13101373,2021,Simone Merlo,A5028154954,FEMININO,False,ES
W3170314591,10.1016/j.ocecoaman.2021.105692,2021,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;ES;IT
W2951392513,10.1038/s41598-019-45042-0,2019,Clarissa Akemi Kajiya Endo,A5008298747,FEMININO,True,BR
W3164352504,10.1186/s43591-020-00002-8,2021,François Galgani,A5009412499,INDEFINIDO,False,FR
W3080954262,10.1073/pnas.1918943117,2020,Mario Lebrato,A5085182597,MASCULINO,False,DE
W4375859384,10.1016/j.marenvres.2023.106021,2023,Hudson Carvalho Ferreira,A5102511142,MASCULINO,True,BR
W4385659813,10.7717/peerj.15729,2023,Mayara Silveira,A5074247931,FEMININO,True,BR
W4286494027,10.1038/s41467-022-31754-x,2022,Lars Max,A5024330767,MASCULINO,False,DE
W2806002088,10.1371/journal.pone.0198452,2018,Anaide Wrublevski Aued,A5061879156,FEMININO,True,BR;US
W2792203669,10.1016/j.dsr2.2018.02.014,2018,Lorena Luiz Collares,A5080753152,FEMININO,True,BR
W2809555648,10.1016/j.marpolbul.2018.05.049,2018,Gustavo F. de Carvalho-Souza,A5045379599,MASCULINO,True,BR;ES
W3041463696,10.1016/j.marpolbul.2020.111394,2020,Marcelo de Oliveira Soares,A5069983910,MASCULINO,True,BR;ES;IT
W3166547821,10.1016/j.scitotenv.2021.148335,2021,Luana Agostini,A5073554565,FEMININO,True,BR
W3213402891,10.3389/fmars.2021.751840,2021,Clive R. McMahon,A5004679491,MASCULINO,False,AU
W2972768219,10.1093/nsr/nwz136,2019,Harvey Locke,A5005723250,MASCULINO,False,CA;CH
W3023323943,10.1007/s11069-020-03974-1,2020,Cibele Oliveira Lima,A5070686800,FEMININO,True,BR
W3207864471,10.1126/sciadv.abh2823,2021,Macarena Agrelo,A5035891986,FEMININO,True,BR
W4392881439,10.1038/s43247-024-01241-w,2024,Justin P. Gwynn,A5035567266,MASCULINO,False,NO
W2959012558,10.3389/fmars.2019.00447,2019,Nikolai Maximenko,A5024134323,MASCULINO,False,US
W2795256951,10.1186/s40645-018-0165-x,2018,Christian Betzler,A5030083359,MASCULINO,False,DE
W2920163517,10.1038/s41598-019-40311-4,2019,Ana Luzia Lacerda,A5062605761,FEMININO,True,BR;GB
W3185343393,10.3390/rs13152907,2021,Camila Brasil Louro da Silveira,A5007559233,FEMININO,True,BR
W3195454272,10.1007/s10021-021-00691-z,2021,Leonardo Capitani,A5072489985,MASCULINO,True,BR
W3136230684,10.3389/fmars.2021.664066,2021,Andrei Polejack,A5028593708,MASCULINO,True,BR;SE
W3093664270,10.1111/geb.13202,2020,Elisabeth M. A. Strain,A5014459511,FEMININO,False,AU
W4387137033,10.3389/fmars.2023.1224471,2023,Alex David Rogers,A5088170432,MASCULINO,False,GB
W4296204762,10.1016/j.oneear.2022.08.004,2022,Nathan James Bennett,A5008685860,MASCULINO,False,CH;ES
W4365795982,10.3354/esr01243,2023,BP Wallace,A5004594059,INDEFINIDO,False,US
W2955511165,10.3389/fmars.2019.00421,2019,Sebastiaan Swart,A5085430202,INDEFINIDO,False,SE;ZA
W3043857647,10.3389/fmars.2020.00622,2020,María Grazia Pennino,A5090648333,FEMININO,True,BR;ES
W2787924812,10.1080/17565529.2018.1442795,2018,Shankar Aswani,A5039652249,INDEFINIDO,False,ZA
W3046919135,10.1146/annurev-ecolsys-011620-031032,2020,James S. Albert,A5068632661,MASCULINO,False,US
W3080081411,10.1016/j.marpolbul.2020.111558,2020,Ostin Garcés-Ordóñez,A5042134948,INDEFINIDO,False,CO
W3032059635,10.1002/asl.984,2020,Thomas J. Bracegirdle,A5083877119,MASCULINO,False,GB
W2892457695,10.1016/j.marpol.2018.08.024,2018,Steffen Oppel,A5000994178,INDEFINIDO,False,GB
W3134044351,10.1016/j.scitotenv.2021.146274,2021,Jochen Bundschuh,A5004401516,MASCULINO,False,AU
W3023081306,10.1093/gigascience/giaa046,2020,Rafael R. C. Cuadrat,A5077082326,MASCULINO,False,DE
W3134922925,10.1093/icesjms/fsab006,2021,Betty Quéffelec,A5068013198,FEMININO,False,FR
W2904099339,10.1016/j.scitotenv.2018.12.238,2018,Rafael A. Magris,A5072954955,MASCULINO,True,BR;CA
W4375853320,10.1038/s43247-023-00828-z,2023,Vanessa Hatje,A5008351522,FEMININO,True,BR
W4414459445,10.1038/s43247-025-02594-6,2025,Christina Richardson,A5051896132,FEMININO,False,US
W2800922802,10.3389/fmicb.2018.00833,2018,Deborah Catharine de Assis Leite,A5019684223,FEMININO,True,BR
W4313528445,10.1073/pnas.2211974120,2023,Fernanda A. S. Cassemiro,A5060112997,FEMININO,True,BR
W2955791628,10.3389/fmars.2019.00420,2019,Anne G. O’Carroll,A5111160359,FEMININO,False,DE
W2791051208,10.1016/j.jenvman.2018.03.034,2018,Gerson Fernandino,A5017472642,MASCULINO,True,BR
W4323833064,10.1007/s10750-023-05171-0,2023,Jorge Luiz Rodrigues Filho,A5086145974,MASCULINO,True,BR
W3089595461,10.1111/gcb.15346,2020,Kelly Yumi Inagaki,A5069848413,FEMININO,True,BR
W3036656996,10.1016/j.csr.2020.104175,2020,Luiz Carlos Cotovicz Jr.,A5062438840,MASCULINO,True,BR
W2967261868,10.3389/fmars.2019.00527,2019,Jose H Muelbert,A5021160437,MASCULINO,True,AU;BR
W3000764307,10.1002/aqc.3265,2020,Laura Schejter,A5062822984,FEMININO,False,AR
W2972056811,10.1016/j.ecolind.2019.105657,2019,Jonathan R. Monsinjon,A5026589959,MASCULINO,False,FR
W3167598298,10.1038/s41467-021-24008-9,2021,Rafaël Almar,A5071528944,MASCULINO,False,FR
W2904683107,10.1016/j.jhazmat.2018.12.052,2018,Monick Cruz Nazareth,A5008117572,FEMININO,True,BR
W4410343983,10.1038/s43247-025-02348-4,2025,Pamela D. Noyes,A5055394944,FEMININO,False,US
W3125513283,10.3354/esep00196,2021,Boris Worm,A5034724010,MASCULINO,False,CA
W3091712078,10.1111/ddi.13167,2020,Sarah A. Bailey,A5078055685,FEMININO,False,CA
W4206199937,10.1038/s41467-021-27817-0,2022,Hironao Matsumoto,A5101641024,INDEFINIDO,False,JP
W2941673351,10.1016/j.scitotenv.2019.04.280,2019,Nadine Schubert,A5004390656,FEMININO,True,BR
W3189068467,10.3389/fmars.2021.681619,2021,Guilherme Franz,A5047704504,MASCULINO,True,BR;PT
W2962963101,10.2989/1814232x.2019.1616613,2019,Rui Freitas,A5002436492,MASCULINO,False,CV;ES
W2898880576,10.1007/s11356-018-3509-6,2018,Theresinha Monteiro Absher,A5057289576,FEMININO,True,BR
W3184650026,10.3389/fmars.2021.673086,2021,Silas C. Principe,A5078361545,MASCULINO,True,BR
