author_id,nome,primeiro_nome,genero,proporcao,prop_feminina_ibge,freq_ibge,motivo,paises,obras
A5018451916,Paula Figueira,PAULA,FEMININO,0.9934,0.9934,222577,IBGE,PT,1
A5038780750,Filipe Martinho,FILIPE,MASCULINO,0.9907,0.0093,61732,IBGE,PT,1
A5088643588,Eduarda Pereira,EDUARDA,FEMININO,0.9891,0.9891,152299,IBGE,PT,1
A5066451304,Mário Pacheco,MARIO,MASCULINO,0.9955,0.0045,269379,IBGE,PT,1
A5032130835,Fernando Eduardo Borges da Silva,FERNANDO,MASCULINO,0.9918,0.0082,556346,IBGE,BR,1
A5052252671,Matheus Dantas das Chagas,MATHEUS,MASCULINO,0.9923,0.0077,350434,IBGE,BR,1
A5111135930,FÁBIO S. DE OLIVEIRA,FABIO,MASCULINO,0.9956,0.0044,547965,IBGE,BR,2
A5113127663,CARLOS ERNESTO G.R. SCHAEFFER,CARLOS,MASCULINO,0.9959,0.0041,1489191,IBGE,BR,1
A5069828745,ISABELA C. TORRES,ISABELA,FEMININO,0.9967,0.9967,216884,IBGE,BR,1
A5090552097,Eduardo Rössener,EDUARDO,MASCULINO,0.9935,0.0065,632664,IBGE,BR,1
A5117429239,L W Gaudie-Ley,,INDEFINIDO,,,0,nome abreviado,BR,1
A5110186078,M. Aguiar,,INDEFINIDO,,,0,nome abreviado,BR,1
A5117429240,P da S Sant'Anna,,INDEFINIDO,,,0,nome abreviado,BR,1
A5016438956,Lima Caetano,LIMA,INDEFINIDO,0.6682,0.3318,898,nome ambíguo no IBGE,BR,1
A5018300026,Evelize Folly,EVELIZE,FEMININO,1.0000,1.0000,1181,IBGE,BR,1
A5074478770,Eduardo Camilo-da-Silva,EDUARDO,MASCULINO,0.9935,0.0065,632664,IBGE,BR,1
A5013888131,Thayli Ramires Araújo,THAYLI,INDEFINIDO,,,0,nome ausente do IBGE,BR,1
A5037925994,Roger Vasques Marques,ROGER,MASCULINO,0.9942,0.0058,40981,IBGE,BR,1
A5077279564,Tassiana Ramires,TASSIANA,FEMININO,1.0000,1.0000,2983,IBGE,BR,1
A5083061814,Pablo Machado Mendes,PABLO,MASCULINO,0.9931,0.0069,133420,IBGE,BR,1
A5025220738,Deborah Murowaniecki Otero,DEBORAH,FEMININO,0.9973,0.9973,10381,IBGE,BR,2
A5015275692,Wladimir Padilha da Silva,WLADIMIR,MASCULINO,1.0000,0.0000,4185,IBGE,BR,1
A5008564695,Érico Kunde Corrêa,ERICO,MASCULINO,0.9956,0.0044,14672,IBGE,BR,2
A5085366548,Carolina Sá,CAROLINA,FEMININO,0.9962,0.9962,191221,IBGE,,2
A5058675164,Márjore Bezerra de Menezes,MARJORE,FEMININO,0.9827,0.9827,1501,IBGE,US,1
A5034408190,Mila Letice Sangali Mattos Ferreira,MILA,FEMININO,0.9832,0.9832,4701,IBGE,BR,1
A5000356572,Tamyris de Mello,TAMYRIS,FEMININO,1.0000,1.0000,376,IBGE,BR,1
A5020956415,Henrique Machado Dias,HENRIQUE,MASCULINO,0.9938,0.0062,228718,IBGE,BR,6
A5057631037,Minelli da Silva Costa,MINELLI,INDEFINIDO,,,0,nome ausente do IBGE,BR,1
A5041153567,Roberto César de Mendonça Barbosa,ROBERTO,MASCULINO,0.9967,0.0033,437288,IBGE,BR,4
A5016162146,Claudionor de Barros Mota,CLAUDIONOR,MASCULINO,0.9971,0.0029,24196,IBGE,BR,1
A5051829587,Axelle Pochet,AXELLE,INDEFINIDO,,,0,nome ausente do IBGE,BR,1
A5006843849,Pedro Henrique Bandeira Diniz,PEDRO,MASCULINO,0.9950,0.0050,1219605,IBGE,BR,1
A5000881869,Hélio Lopes,HELIO,MASCULINO,0.9972,0.0028,137525,IBGE,BR,2
A5056550577,Marcelo Gattass,MARCELO,MASCULINO,0.9955,0.0045,693215,IBGE,BR,1
A5043822527,Alex M.V. Ferreira,ALEX,MASCULINO,0.9924,0.0076,311536,IBGE,BR,1
A5063243705,Patrik F. Viana,PATRIK,MASCULINO,0.9891,0.0109,13021,IBGE,BR,3
A5042404575,Leandro Marajó,LEANDRO,MASCULINO,0.9946,0.0054,509248,IBGE,BR,2
A5046828685,Eliana Feldberg,ELIANA,FEMININO,0.9979,0.9979,181921,IBGE,BR,3
A5057398680,Keith A. Arnold,KEITH,FEMININO,0.9030,0.9030,1433,IBGE,US,1
A5057012397,Mayara Pereira Neves,MAYARA,FEMININO,0.9962,0.9962,75077,IBGE,BR;US,2
A5051336508,HoWan Chan,HOWAN,INDEFINIDO,,,0,nome ausente do IBGE,US,2
A5012253286,John E. Majoris,JOHN,MASCULINO,0.9956,0.0044,19753,IBGE,SA;US,1
A5103022700,Kory M Evans,KORY,INDEFINIDO,,,0,nome ausente do IBGE,US,1
A5010299253,Rodrigo Alves Costa,RODRIGO,MASCULINO,0.9953,0.0047,601650,IBGE,BR,1
A5041583164,Carla dos Santos Rosário,CARLA,FEMININO,0.9959,0.9959,326684,IBGE,BR,1
A5097605475,Thaís Kaori Enoki Takishita,THAIS,FEMININO,0.9953,0.9953,169620,IBGE,BR,2
A5126156408,Jose L. Domingo,JOSE,MASCULINO,0.9962,0.0038,5754529,IBGE,ES,1
A5135477472,Marilia Cristina Oliveira Souza,MARILIA,FEMININO,0.9969,0.9969,87004,IBGE,BR,2
A5139903904,Fernando Barbosa,FERNANDO,MASCULINO,0.9918,0.0082,556346,IBGE,BR,2
A5118842638,Tamires Matos-Barbosa,TAMIRES,FEMININO,0.9943,0.9943,143715,IBGE,BR,1
A5019881637,Tatiane Combi,TATIANE,FEMININO,0.9967,0.9967,209635,IBGE,BR;ES,8
A5069523305,Rosemary Conceição dos Santos,ROSEMARY,FEMININO,0.9979,0.9979,14556,IBGE,BR;CL,1
A5066666901,José Aparecido Da Silva,JOSE,MASCULINO,0.9962,0.0038,5754529,IBGE,BR,1
A5092894779,Brenda Silva Craveiro,BRENDA,FEMININO,0.9948,0.9948,121251,IBGE,BR,1
A5003213445,Adriano Biancalana,ADRIANO,MASCULINO,0.9919,0.0081,338315,IBGE,BR,2
A5069396607,Ramillys Carvalho de Souza,RAMILLYS,INDEFINIDO,,,0,nome ausente do IBGE,BR,1
A5059594937,Thiago Costa da Silva,THIAGO,MASCULINO,0.9939,0.0061,343737,IBGE,BR,1
