author_id,nome,paises,primeiro_nome,obras,genero_ibge,motivo_ibge,genero_wgnd,motivo_wgnd,genero_wgnd_fallback,motivo_wgnd_fallback,detalhe_wgnd
sem-id:W4226279429:31,Robert M. Key,US,ROBERT,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5103392309,T. Terre,FR,,2,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
A5047267794,Daniel Valla,AR,DANIEL,4,MASCULINO,IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5112667831,Marcel van den Berg,ZA,MARCEL,3,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,ZA:M1.00
A5045873548,Matthieu Le Hénaff,US,MATTHIEU,3,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,US:M1.00
A5065820434,Silvia L. Garzoli,US,SILVIA,3,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5016634263,Ricardo M. Domingues,US,RICARDO,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.01/M0.99
A5017766865,Hosmay Lopez,US,HOSMAY,2,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
A5081415884,Ulises Rivero,US,ULISES,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5091335639,Thomas Rossby,US,THOMAS,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5038051193,Robert E. Todd,US,ROBERT,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5021935018,Nathalie V. Zilberman,US,NATHALIE,2,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5006270911,Katherine Hutchinson,FR;ZA,KATHERINE,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,ZA:F1.00
A5034925372,Charles Sun,US,CHARLES,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.01/M0.99
A5053309362,Udaya Bhaskar TVS,IN,UDAYA,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,IN:?0.25/F0.75
A5032256622,V. P. Akhil,IN,,1,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
A5021863392,Jérôme Vialard,FR,JEROME,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,FR:M1.00
A5057592947,M. G. Keerthi,FR,,1,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
A5106183403,J. Boutin,FR,,1,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
A5077448537,Vagner Gonçalves Ferreira,CN,VAGNER,3,MASCULINO,IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
sem-id:W2873161155:1,H.C. Montecino,CL,,1,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
sem-id:W2873161155:2,C.E. Ndehedehe,AU,,1,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
A5109624650,Brandon J Heck,DE,BRANDON,1,MASCULINO,IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5062999041,Zheng Gong,CN,ZHENG,1,INDEFINIDO,nome ambíguo no IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.50/F0.09/M0.41
A5080904970,Malte Westerhaus,DE,MALTE,1,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,DE:M1.00
A5073694346,Anderson Rodrigo de Queiroz,US,ANDERSON,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.02/M0.98
A5089417862,Luana Medeiros Marangon Lima,US,LUANA,2,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00
A5048315397,Jean‐François Ternon,FR,JEANFRANCOIS,2,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,FR:M1.00
A5072264931,Laurie S. Huning,US,LAURIE,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F0.99/M0.01
A5040384527,Charlotte A. Love,US,CHARLOTTE,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5048568140,Hassan Anjileli,US,HASSAN,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5083760623,Farshid Vahedifard,CA;US,FARSHID,1,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,US:M1.00
A5009235911,Yunxia Zhao,US,YUNXIA,1,INDEFINIDO,nome ausente do IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00
A5103039258,K Cooper,US,,1,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
A5027925875,Aneseh Alborzi,US,ANESEH,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
A5114499168,Edward Pleitez,US,EDWARD,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:F0.00/M1.00
A5057698020,Samaneh Ashraf,CA,SAMANEH,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,FEMININO,WGND sem país (fallback),
A5056976571,Iman Mallakpour,US,IMAN,1,FEMININO,IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,US:F0.84/M0.16
A5085701082,Hamed R. Moftakhari,US,HAMED,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,US:M1.00
A5050684806,Amir AghaKouchak,CA;US,AMIR,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,CA:F0.00/M1.00; US:F0.02/M0.98
A5075921502,Mohammad Javad Moharrami,CA,MOHAMMAD,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,CA:M1.00
A5030775425,Hodjat Shiri,CA,HODJAT,2,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
A5091169753,Omar Hamza,GB,OMAR,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,GB:M1.00
A5079170679,Cristobal Condori Quispe,PE,CRISTOBAL,1,MASCULINO,IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5079369107,Khurram Aslam,US,KHURRAM,1,INDEFINIDO,nome ausente do IBGE,MASCULINO,WGND,MASCULINO,WGND,US:M1.00
A5103127563,Jie Dou,CN;JP,JIE,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,CN:?0.25/F0.37/M0.38
A5053118740,Martín Cárdenas‐Soto,MX,MARTIN,1,MASCULINO,IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5011768340,Mostafa M. Abdelhafiz,DE;EG,MOSTAFA,3,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,EG:M1.00
A5075812982,Joachim F. Oppelt,DE,JOACHIM,3,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,DE:M1.00
A5033080258,Klaus Jöhnk,AU,KLAUS,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AU:M1.00
A5090435056,Zeli Tan,US,ZELI,1,FEMININO,IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,US:F0.67/M0.33
A5057772380,Qianlai Zhuang,US,QIANLAI,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
A5089566795,Huaxia Yao,CA,HUAXIA,2,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,INDEFINIDO,nome ausente na WGND para o país,
A5063155909,Maryam Ghandchi Tehrani,GB,MARYAM,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,GB:F1.00
A5008143769,Alexis Chaigneau,BJ;FR,ALEXIS,3,MASCULINO,IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,BJ:F0.50/M0.50; FR:F0.00/M1.00
A5113864413,Gérard Eldin,FR,GERARD,2,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,FR:M1.00
A5009617157,Elisabeth Krueger,DE;US,ELISABETH,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,DE:F1.00; US:F1.00/M0.00
A5041949164,Dietrich C. Borchardt,DE,DIETRICH,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,DE:M1.00
A5050897838,Soohyun Yang,US,SOOHYUN,1,INDEFINIDO,nome ausente do IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00
A5078292806,Jonatan Zischg,AT,JONATAN,1,MASCULINO,IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5033107100,P. Suresh C. Rao,US,,1,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,INDEFINIDO,nome abreviado,
A5053157432,Mehdi Ostadhassan,CN,MEHDI,1,INDEFINIDO,nome ausente do IBGE,INDEFINIDO,nome ausente na WGND para o país,MASCULINO,WGND sem país (fallback),
A5063293630,Jordon Dennis Hemingway,US,JORDON,1,MASCULINO,IBGE,INDEFINIDO,nome ambíguo na WGND,INDEFINIDO,nome ambíguo na WGND,US:F0.12/M0.88
A5019935420,Kristina A. Brown,US,KRISTINA,1,FEMININO,IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00/M0.00
A5040139357,Valier Galy,US,VALIER,3,INDEFINIDO,nome ausente do IBGE,FEMININO,WGND,FEMININO,WGND,US:F1.00
A5044335172,Leonard I. Wassenaar,AT,LEONARD,1,MASCULINO,IBGE,MASCULINO,WGND,MASCULINO,WGND,AT:M1.00
